REG,Norte,Este,Elevacao
1,7825217.070395,685714.211486,785.000000
2,7825217.491169,685708.269019,784.000000
3,7825218.354083,685702.664038,783.000000
4,7825219.902764,685697.582504,782.000000
5,7825222.889153,685691.698235,781.000000
6,7825228.658119,685684.944855,780.000000
7,7825233.321483,685680.649003,779.000000
8,7825233.497442,685680.537954,779.000000
9,7825239.027458,685677.328185,778.000000
10,7825244.557474,685674.118415,777.000000
11,7825250.087490,685670.908646,776.000000
12,7825255.617506,685667.698876,775.000000
13,7825262.495583,685665.240776,774.000000
14,7825269.783175,685663.011017,773.000000
15,7825284.239012,685660.474811,772.000000
16,7825284.986940,685660.439513,772.000000
17,7825285.307660,685660.469558,772.000000
18,7825285.610513,685660.557319,772.000000
19,7825317.918459,685667.107529,771.000000
20,7825318.335594,685667.318371,771.000000
21,7825318.445684,685667.622303,771.000000
22,7825343.123491,685693.381277,771.000000
23,7825353.764386,685699.189000,771.000000
24,7825365.838445,685706.278724,771.000000
25,7825366.938067,685706.771326,771.000000
26,7825368.069100,685707.102199,771.000000
27,7825371.078329,685707.732855,771.000000
28,7825375.802481,685709.493810,771.000000
29,7825390.834949,685713.415636,771.000000
30,7825390.486377,685714.261177,770.999911
31,7825390.137805,685715.106717,771.000000
32,7825390.893717,685715.387069,771.000000
33,7825391.530924,685715.561968,771.000000
34,7825392.359051,685715.657675,771.000000
35,7825402.547670,685715.812294,771.000000
36,7825403.614543,685715.655611,771.000000
37,7825413.026988,685712.390288,771.000000
38,7825417.933801,685709.235686,771.000000
39,7825430.103701,685701.748838,771.000000
40,7825440.928272,685696.830298,771.000000
41,7825441.533412,685696.651901,771.000000
42,7825457.532925,685687.717385,770.000000
43,7825468.436822,685668.140343,769.000000
44,7825468.511037,685633.179368,768.000000
45,7825464.714738,685621.668672,768.000000
46,7825459.812944,685601.937438,767.000000
47,7825461.436713,685600.560088,766.000000
48,7825463.060482,685599.182738,765.000000
49,7825464.684251,685597.805388,764.000000
50,7825466.308020,685596.428038,763.000000
51,7825477.311744,685589.984677,762.000000
52,7825535.044832,685577.179077,755.000000
53,7825544.803157,685574.143760,754.000000
54,7825556.532418,685571.783960,753.000000
55,7825568.330319,685569.890712,752.000000
56,7825579.852495,685568.075960,751.000000
57,7825591.119958,685566.541478,750.000000
58,7825601.449311,685565.751998,749.000000
59,7825596.893241,685603.215014,761.000000
60,7825601.895711,685658.403152,775.000000
61,7825598.078506,685674.490949,780.000000
62,7825593.961827,685675.998804,781.000000
63,7825574.250507,685680.895436,785.000000
64,7825568.011581,685682.525951,786.000000
65,7825558.591305,685681.072637,786.000000
66,7825551.806574,685680.995052,786.000000
67,7825542.702578,685682.522508,786.000000
68,7825540.406566,685683.170227,786.000000
69,7825539.209191,685683.693064,786.000000
70,7825536.439384,685685.422770,786.000000
71,7825530.644887,685685.706949,785.000000
72,7825525.523141,685685.769351,784.000000
73,7825522.056502,685685.286135,783.000000
74,7825518.589863,685684.802919,782.000000
75,7825510.027251,685691.429891,781.000000
76,7825506.209251,685698.831169,782.000000
77,7825501.823452,685706.965371,783.000000
78,7825492.533817,685724.323563,784.000000
79,7825489.217249,685730.501474,785.000000
80,7825487.476268,685733.896808,786.000000
81,7825485.735287,685737.292141,787.000000
82,7825483.994306,685740.687475,788.000000
83,7825479.651994,685747.638693,789.000000
84,7825470.272563,685761.426026,790.000000
85,7825458.383529,685777.595341,791.000000
86,7825457.509118,685778.569277,791.000000
87,7825457.299847,685778.764761,791.000000
88,7825449.903230,685783.108496,791.000000
89,7825439.600842,685788.856178,791.000000
90,7825427.742901,685795.209694,791.000000
91,7825420.069441,685797.194872,790.000000
92,7825413.622370,685798.429728,789.000000
93,7825412.751446,685798.582566,789.000000
94,7825406.864241,685797.565310,788.000000
95,7825400.977035,685796.548054,787.000000
96,7825396.840435,685796.181147,786.000000
97,7825393.080332,685795.954108,785.000000
98,7825389.786383,685795.384730,784.000000
99,7825389.632401,685795.327677,784.000000
100,7825376.506758,685789.216249,784.000000
101,7825375.309555,685788.529159,784.000000
102,7825365.578835,685780.813691,784.000000
103,7825347.695196,685775.241458,785.000000
104,7825343.351396,685771.268600,786.000000
105,7825329.481185,685767.546650,789.000000
106,7825327.754307,685769.291197,790.000000
107,7825326.027429,685771.035745,791.000000
108,7825324.300551,685772.780293,792.000000
109,7825322.573673,685774.524840,793.000000
110,7825320.846795,685776.269388,794.000000
111,7825319.119917,685778.013936,795.000000
112,7825314.599044,685786.107860,798.000000
113,7825313.520652,685788.922316,799.000000
114,7825312.442261,685791.736773,800.000000
115,7825310.959968,685797.919838,802.000000
116,7825310.888278,685801.561388,803.000000
117,7825310.816588,685805.202938,804.000000
118,7825310.609477,685809.176685,805.000000
119,7825310.095168,685813.386549,806.000000
120,7825311.525913,685822.878174,808.000000
121,7825310.615414,685826.298894,809.000000
122,7825309.999286,685828.862285,810.000000
123,7825309.383159,685831.425676,811.000000
124,7825308.767031,685833.989067,812.000000
125,7825308.150904,685836.552458,813.000000
126,7825307.534776,685839.115849,814.000000
127,7825307.165334,685841.746680,815.000000
128,7825310.730320,685845.453126,816.000000
129,7825314.295307,685849.159571,817.000000
130,7825317.860293,685852.866017,818.000000
131,7825321.425279,685856.572462,819.000000
132,7825328.989861,685862.524300,821.000000
133,7825332.874884,685865.154860,822.000000
134,7825336.747339,685867.797445,823.000000
135,7825340.395249,685870.654894,824.000000
136,7825344.004083,685873.615837,825.000000
137,7825347.443026,685877.026728,826.000000
138,7825350.975076,685880.761082,827.000000
139,7825354.666339,685885.048567,828.000000
140,7825358.107662,685890.075609,829.000000
141,7825361.428643,685895.458733,830.000000
142,7825360.751759,685895.923919,830.000000
143,7825356.301404,685898.982406,830.000000
144,7825355.624520,685899.447591,830.000000
145,7825293.987362,685911.273110,825.000000
146,7825286.379837,685909.886340,824.000000
147,7825280.395030,685906.127371,823.000000
148,7825274.375934,685902.208531,822.000000
149,7825268.356837,685898.289691,821.000000
150,7825262.337741,685894.370851,820.000000
151,7825256.318644,685890.452011,819.000000
152,7825250.299548,685886.533171,818.000000
153,7825244.280452,685882.614331,817.000000
154,7825238.261355,685878.695491,816.000000
155,7825232.242259,685874.776651,815.000000
156,7825226.223162,685870.857811,814.000000
157,7825220.204066,685866.938971,813.000000
158,7825213.838330,685862.832080,812.000000
159,7825207.269012,685858.614746,811.000000
160,7825200.699695,685854.397413,810.000000
161,7825194.130377,685850.180079,809.000000
162,7825187.561059,685845.962746,808.000000
163,7825180.991742,685841.745412,807.000000
164,7825176.443207,685831.243044,806.000000
165,7825182.311032,685822.917083,805.000000
166,7825191.883342,685808.334667,803.000000
167,7825195.796929,685801.878179,802.000000
168,7825199.710517,685795.421690,801.000000
169,7825201.828902,685790.010665,800.000000
170,7825203.584793,685784.810744,799.000000
171,7825205.340685,685779.610822,798.000000
172,7825207.096577,685774.410901,797.000000
173,7825210.994597,685760.511124,794.000000
174,7825211.963332,685756.288207,793.000000
175,7825212.932066,685752.065290,792.000000
176,7825213.900800,685747.842373,791.000000
177,7825214.869534,685743.619456,790.000000
178,7825215.387297,685737.981350,789.000000
179,7825215.808072,685732.038884,788.000000
180,7825216.228846,685726.096418,787.000000
181,7825216.649620,685720.153952,786.000000
182,7825217.070395,685714.211486,785.000000
